"Earnings Per Share, Basic",Ticker,Fiscal Year,Fiscal Period
0.52424,ACHC,2017,Q3
0.79982,ACHC,2017,Q4
0.58332,ACHC,2018,Q1
0.67393,ACHC,2018,Q2
0.52931,ACHC,2018,Q3
-3.79517,ACHC,2018,Q4
0.33679,ACHC,2019,Q1
0.54942,ACHC,2019,Q2
0.48564,ACHC,2019,Q3
-0.12836,ACHC,2019,Q4
0.38128,ACHC,2020,Q1
0.46749,ACHC,2020,Q2
0.42086,ACHC,2020,Q3
-8.91012,ACHC,2020,Q4
0.11012,ACHC,2021,Q1
0.50445,ACHC,2021,Q2
0.74564,ACHC,2021,Q3
0.78264,ACHC,2021,Q4
0.68341,ACHC,2022,Q1
0.8925,ACHC,2022,Q2
0.79146,ACHC,2022,Q3
1.42534,ACIA,2016,Q4
0.93216,ACIA,2017,Q1
0.12034,ACIA,2017,Q2
0.4712,ACIA,2017,Q3
-0.51742,ACIA,2017,Q4
-0.22788,ACIA,2018,Q1
-0.08051,ACIA,2018,Q2
0.20128,ACIA,2018,Q3
0.22496,ACIA,2018,Q4
0.1732,ACIA,2019,Q1
-0.04966,ACIA,2019,Q2
0.36729,ACIA,2019,Q3
0.30918,ACIA,2019,Q4
0.37628,ACIA,2020,Q1
0.38391,ACIA,2020,Q2
0.57747,ACIA,2020,Q3
0.81406,ACIA,2020,Q4
0.56848,ACIW,2016,Q4
-0.01379,ACIW,2017,Q1
-0.25445,ACIW,2017,Q2
0.02883,ACIW,2017,Q3
0.2742,ACIW,2017,Q4
-0.168,ACIW,2018,Q1
-0.12613,ACIW,2018,Q2
0.13171,ACIW,2018,Q3
0.74704,ACIW,2018,Q4
-0.22365,ACIW,2019,Q1
0.04915,ACIW,2019,Q2
0.27323,ACIW,2019,Q3
0.47961,ACIW,2019,Q4
-0.21057,ACIW,2020,Q1
0.1213,ACIW,2020,Q2
0.13606,ACIW,2020,Q3
0.57421,ACIW,2020,Q4
-0.01655,ACIW,2021,Q1
0.05533,ACIW,2021,Q2
0.11707,ACIW,2021,Q3
0.93305,ACIW,2021,Q4
0.13249,ACIW,2022,Q1
0.11635,ACIW,2022,Q2
0.20312,ACIW,2022,Q3
0.13474,ACLS,2016,Q4
0.31929,ACLS,2017,Q1
0.45538,ACLS,2017,Q2
0.3785,ACLS,2017,Q3
2.88175,ACLS,2017,Q4
0.43357,ACLS,2018,Q1
0.45536,ACLS,2018,Q2
0.27306,ACLS,2018,Q3
0.26065,ACLS,2018,Q4
0.18548,ACLS,2019,Q1
0.01699,ACLS,2019,Q2
0.02177,ACLS,2019,Q3
0.29898,ACLS,2019,Q4
0.34135,ACLS,2020,Q1
0.40158,ACLS,2020,Q2
0.32212,ACLS,2020,Q3
0.43736,ACLS,2020,Q4
0.4888,ACLS,2021,Q1
